Board Name,Board ID,Field Name,Field ID,Field Type,Purpose,Connections,Input Method
EC12** - Stages,18412445613,Link to Standard Drive Pack,text__1,Input,Technical documentation link,,Text
EC12** - Stages,18412445613,Festival Gate,text4__1,Input,Gate entry point,,Text
EC12** - Stages,18412445613,Team Members @ Stage,connect_boards2__1,Connection,Links staff,Team Members (18412445606),Board Relation
EC12** - Stages,18412445613,Stage Info Status,color_mkpgw72a,Input,Confirm Details / Confirmed / Stuck,Status selector,Status
EC12** - Artist Advancing Tracker,18412445614,Name,name,Key,Artist/group name,,Text
EC12** - Artist Advancing Tracker,18412445614,Subitems,subitems,Connection,Links to Tasks board,Tasks (18412445626),Board Relation
EC12** - Artist Advancing Tracker,18412445614,Advancing Lead,person,Input,Responsible staff member,,People
EC12** - Artist Advancing Tracker,18412445614,Advancing Status,status,Input,15 states for workflow tracking,Status selector with 15 options,Status
EC12** - Artist Advancing Tracker,18412445614,Artist Party Type,dropdown_mm2bjhn9,Input,A Party / B Party / C Party / Other,Dropdown with 4 options,Dropdown
EC12** - Artist Advancing Tracker,18412445614,Show Day,dropdown1__1,Input,16/07 Day 1 - 20/07 Day 5,Dropdown with 5 options,Dropdown
EC12** - Artist Advancing Tracker,18412445614,Live Stage Slot,board_relation__1,Connection,Links to performance timing,Stage Timings board (18390343044),Board Relation
EC12** - Artist Advancing Tracker,18412445614,Stage Name (from Timings),lookup_mksehn57,Connection,Mirrors stage name,Stage Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Stage Slot Type,mirror38__1,Connection,Mirrors slot classification,Stage Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Duration (m),mirror64__1,Connection,Mirrors set length in minutes,Stage Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Show Start Time,mirror45__1,Connection,Mirrors performance start time,Stage Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Show End Time,mirror901__1,Connection,Mirrors performance end time,Stage Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Soundcheck Slot,connect_boards235__1,Connection,Links to rehearsal timing,Soundcheck Timings board (18390342430),Board Relation
EC12** - Artist Advancing Tracker,18412445614,Soundcheck Stage Slot Type,mirror57__1,Connection,Mirrors soundcheck classification,Soundcheck Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Soundcheck Duration (m),mirror8__1,Connection,Mirrors soundcheck length,Soundcheck Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Soundcheck Starts,mirror761__1,Connection,Mirrors soundcheck start,Soundcheck Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Soundcheck Ends,mirror464__1,Connection,Mirrors soundcheck end,Soundcheck Timings,Mirror
EC12** - Artist Advancing Tracker,18412445614,Artist Type,dropdown9,Input,1. Headliner - 6. VIP,Dropdown with 6 options,Dropdown
EC12** - Artist Advancing Tracker,18412445614,Actions Completed,dropdown,Input,39-item multi-select checklist,Dropdown with 39 options,Dropdown
EC12** - Artist Advancing Tracker,18412445614,Item ID,item_id,Key,System identifier,,Auto-generated
EC12** - Artist Advancing Tracker,18412445614,Stage (Corrected),board_relation3,Connection,Primary stage link,Stages (18412445613),Board Relation
EC12** - Artist Advancing Tracker,18412445614,Festival Gate,mirror2__1,Connection,Mirrors gate assignment,Stages,Mirror
EC12** - Artist Advancing Tracker,18412445614,Stage Index,mirror0__1,Connection,Mirrors stage ordering,Stages,Mirror
EC12** - Artist Advancing Tracker,18412445614,Artist Origin,artist_origin__1,Input,INT / RO / Local / SKIP!,Status selector,Status
EC12** - Artist Advancing Tracker,18412445614,Hotel Timeline,timeline5,Input,Accommodation date range,,Timeline
EC12** - Artist Advancing Tracker,18412445614,Hotel Nights,formula_mksc17p1,Calculated,Calculates stay length,Formula: DAYS(End Start),Formula
EC12** - Artist Advancing Tracker,18412445614,Related Artist/Crew,connect_boards9__1,Connection,Links other related artists,Self-referential,Board Relation
EC12** - Artist Advancing Tracker,18412445614,Nights Paid by EC,numbers_16,Input,EC-funded accommodation nights,,Number
EC12** - Artist Advancing Tracker,18412445614,Nights Paid by Artist,formula4,Calculated,Total nights - EC nights,Formula,Formula
EC12** - Artist Advancing Tracker,18412445614,A Party Size,numbers,Input,Tier A party headcount,,Number
EC12** - Artist Advancing Tracker,18412445614,B Party Size,numeric_mksczbrh,Input,Tier B party headcount,,Number
EC12** - Artist Advancing Tracker,18412445614,C Party Size,numbers3,Input,Tier C party headcount,,Number
EC12** - Artist Advancing Tracker,18412445614,Other Travel Party,numbers__1,Input,Additional entourage,,Number
EC12** - Artist Advancing Tracker,18412445614,Travel Party Total,formula,Calculated,A+B+C+Other sum,Formula,Formula
EC12** - Artist Advancing Tracker,18412445614,Hotel Notes,hotel_notes,Input,Accommodation details & notes,,Long Text
EC12** - Artist Advancing Tracker,18412445614,Rooming List,rooming_list,Input,Room assignments for party,,Long Text
EC12** - Artist Advancing Tracker,18412445614,A Party Hotel,board_relation7,Connection,Accommodation for A Party,Accommodation (18412445605),Board Relation
EC12** - Artist Advancing Tracker,18412445614,B Party Hotel,board_relation_mm14c373,Connection,Accommodation for B Party,Accommodation (18412445605),Board Relation
EC12** - Artist Advancing Tracker,18412445614,C Party Hotel,board_relation35,Connection,Accommodation for C Party,Accommodation (18412445605),Board Relation
EC12** - Artist Advancing Tracker,18412445614,Artist Pack Link,link__1,Input,External documentation link,,Link
EC12** - Artist Advancing Tracker,18412445614,Travel Party Names - Text,long_text__1,Input,Internal reference (marked for deletion),Deprecated,Long Text
EC12** - Artist Advancing Tracker,18412445614,Req Level,label__1,Input,Chill / 💅 / 💅💅 / 💅💅💅,Status selector,Status
